team,number,player,position,height,weight,dob,yoe,college,country
Boston Celtics,7.0,Jaylen Brown,SF,6-6,223,"October 24, 1996",6,California,United States
Boston Celtics,0.0,Jayson Tatum,SF,6-8,210,"March 3, 1998",5,Duke,United States
Boston Celtics,13.0,Malcolm Brogdon,PG,6-5,229,"December 11, 1992",6,Virginia,United States
Boston Celtics,12.0,Grant Williams,PF,6-6,236,"November 30, 1998",3,Tennessee,United States
Boston Celtics,36.0,Marcus Smart,PG,6-3,220,"March 6, 1994",8,Oklahoma State,United States
Boston Celtics,9.0,Derrick White,SG,6-4,190,"July 2, 1994",5,"Colorado-Colorado Springs, Colorado",United States
Boston Celtics,4.0,Noah Vonleh,PF,6-10,257,"August 24, 1995",7,Indiana,United States
Boston Celtics,91.0,Blake Griffin,PF,6-9,250,"March 16, 1989",12,Oklahoma,United States
Boston Celtics,30.0,Sam Hauser,PF,6-8,215,"December 8, 1997",1,"Marquette, Virginia",United States
Boston Celtics,,JD Davison (TW),PG,6-3,195,"October 3, 2002",R,Alabama,United States
Boston Celtics,,Luke Kornet,C,7-2,250,"July 15, 1995",5,Vanderbilt,United States
Boston Celtics,,Robert Williams,C,6-8,237,"October 17, 1997",4,Texas A&M,United States
Boston Celtics,,Justin Jackson,SF,6-8,220,"March 28, 1995",5,UNC,United States
Boston Celtics,,Payton Pritchard,SG,6-1,195,"January 28, 1998",2,Oregon,United States
Brooklyn Nets,7.0,Kevin Durant,SF,6-10,240,"September 29, 1988",14,Texas,United States
Brooklyn Nets,33.0,Nic Claxton,C,6-11,215,"April 17, 1999",3,Georgia,United States
Brooklyn Nets,0.0,Royce O'Neale,SF,6-4,226,"June 5, 1993",5,"Denver, Baylor",United States
Brooklyn Nets,4.0,Edmond Sumner,SG,6-4,196,"December 31, 1995",4,Xavier,United States
Brooklyn Nets,20.0,Day'Ron Sharpe,C,6-11,265,"November 6, 2001",1,UNC,United States
Brooklyn Nets,14.0,Kessler Edwards,SF,6-8,215,"August 9, 2000",1,Pepperdine,United States
Brooklyn Nets,13.0,Markieff Morris,PF,6-9,245,"September 2, 1989",11,Kansas,United States
Brooklyn Nets,,Alondes Williams (TW),SG,6-5,210,"June 19, 1999",R,"Triton College, Oklahoma, Wake Forest",United States
Brooklyn Nets,,David Duke Jr. (TW),SG,6-5,205,"October 13, 1999",1,Providence,United States
Brooklyn Nets,,T.J. Warren,SF,6-8,220,"September 5, 1993",7,NC State,United States
Brooklyn Nets,,Joe Harris,SG,6-6,220,"September 6, 1991",8,Virginia,United States
Brooklyn Nets,,Seth Curry,SG,6-2,185,"August 23, 1990",8,"Liberty, Duke",United States
Toronto Raptors,33.0,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",4,Duke,United States
Toronto Raptors,23.0,Fred VanVleet,PG,6-1,197,"February 25, 1994",6,Wichita State,United States
Toronto Raptors,4.0,Scottie Barnes,SF,6-9,227,"August 1, 2001",1,Florida State,United States
Toronto Raptors,21.0,Thaddeus Young,PF,6-8,235,"June 21, 1988",15,Georgia Tech,United States
Toronto Raptors,,Malachi Flynn,PG,6-1,175,"May 10, 1998",2,"Washington State, San Diego State",United States
Toronto Raptors,,Otto Porter Jr.,SF,6-8,198,"June 3, 1993",9,Georgetown,United States
Toronto Raptors,,Justin Champagnie,SF,6-6,200,"June 29, 2001",1,Pitt,United States
Toronto Raptors,,Ron Harper Jr. (TW),SF,6-6,245,"April 12, 2000",R,Rutgers University,United States
Toronto Raptors,,Jeff Dowtin (TW),PG,6-3,185,"May 10, 1997",1,Rhode Island,United States
Philadelphia 76ers,1.0,James Harden,SG,6-5,220,"August 26, 1989",13,Arizona State,United States
Philadelphia 76ers,0.0,Tyrese Maxey,SG,6-2,200,"November 4, 2000",2,Kentucky,United States
Philadelphia 76ers,12.0,Tobias Harris,PF,6-8,226,"July 15, 1992",11,Tennessee,United States
Philadelphia 76ers,17.0,P.J. Tucker,SF,6-5,245,"May 5, 1985",11,Texas,United States
Philadelphia 76ers,8.0,De'Anthony Melton,PG,6-2,200,"May 28, 1998",4,USC,United States
Philadelphia 76ers,20.0,Georges Niang,PF,6-7,230,"June 17, 1993",6,Iowa State,United States
Philadelphia 76ers,5.0,Montrezl Harrell,C,6-7,240,"January 26, 1994",7,Louisville,United States
